original_filename,section,substage,website_selection,notes
20211111_053414.jpg,Object Compositions,Details and functions,Archive,Tight crop of a threaded detail
20211111_053450.jpg,Object Compositions,Different views of one object,Alternate,Hinged-object views
20211111_170746.jpg,Color,Early color exercises,Shortlist,First clear color milestone
20211111_170754.jpg,Color,Early color exercises,Archive,Crop of the same color study
20211111_170757.jpg,Color,Early color exercises,Archive,Crop of the same color study
20211111_170812.jpg,Object Compositions,Different views of one object,Alternate,Black-and-white hinged-object study
20211119_124644.jpg,Object Compositions,Different views of one object,Alternate,Audio-device study with several views
20211119_124651.jpg,Object Compositions,Different views of one object,Archive,Crop of the same audio-device study
20211119_164455.jpg,Basic Sketch,Combined-shape objects,Shortlist,Strong transition from form drills to products
20211119_170454.jpg,Object Compositions,Different views of one object,Shortlist,Recording-device views with labels
20211119_170516.jpg,Object Compositions,Details and functions,Archive,Tight crop of the recording-device page
20211202_165020.jpg,Object Compositions,Details and functions,Shortlist,Toaster views details and operation
20211202_165027.jpg,Object Compositions,Details and functions,Archive,Crop of the toaster composition
20211205_175913.jpg,Basic Sketch,Boxes,Archive,Late box drill; early progression is better represented
20211222_044125.jpg,Object Compositions,Different views of one object,Shortlist,Combined product concept shown from several angles
20211222_044134.jpg,Object Compositions,Different views of one object,Archive,Alternate crop of the same concept
20211229_231500.jpg,Object Compositions,Different views of one object,Alternate,Single chair view; later chair studies are stronger
1640845481636-0.jpg,Basic Sketch,Lines and boxes,Archive,Social-media collage of October practice
1640845481636-1.jpg,Object Compositions,Different views of one object,Archive,Social-media collage of November practice
1640845481636-2.jpg,Object Compositions,Different views of one object,Archive,Social-media collage of December practice
1641299916695.jpg,Color,Early color exercises,Shortlist,Strong early colored-chair study
1641312881262.jpg,Object Compositions,Details and functions,Alternate,Uncolored version useful only for a before-and-after pair
1641995431936.jpg,Object Compositions,Details and functions,Shortlist,Tablet or stand shown through views and operation
1641995505198.jpg,Basic Sketch,Boxes,Archive,Late box drill; early progression is better represented
1642442723356.jpg,Object Compositions,Different views of one object,Shortlist,Bottle or handled-object composition
1642442735744.jpg,Object Compositions,Different views of one object,Archive,Duplicate of 1642442723356.jpg
1643026865545.jpg,Object Compositions,Details and functions,Archive,Tight crop of a threaded detail
1643181803473-0.jpg,Object Compositions,Different views of one object,Alternate,Air-fryer study; later full image is stronger
1643181803473-1.jpg,Object Compositions,Different views of one object,Archive,Crop of the air-fryer study
1643181803473-2.jpg,Object Compositions,Different views of one object,Shortlist,Complete air-fryer composition with several concepts
1643181806721.jpg,Object Compositions,Details and functions,Shortlist,Product concept with controls movement and water tank
20220126_130809.jpg,Object Compositions,Details and functions,Shortlist,Clear functional sequence and component views
1643293135842-0.jpg,Basic Sketch,Lines and boxes,Archive,Retrospective collage using images shown elsewhere
1643293135842-1.jpg,Object Compositions,Details and functions,Archive,Retrospective collage using images shown elsewhere
20220128_130741.jpg,Object Compositions,Different views of one object,Archive,Rotated alternate of 20220128_130750.jpg
20220128_130750.jpg,Object Compositions,Different views of one object,Shortlist,Complete multi-view bottle and lid study
1644556035700-1.jpg,Object Compositions,Details and functions,Shortlist,Claw-machine composition with an early color accent
1644556035700-2.jpg,Object Compositions,Details and functions,Archive,Wider process photo with several sheets
1644556035700-3.jpg,Object Compositions,Details and functions,Archive,Alternate process photo of the same sheets
20220215_170732.jpg,Basic Sketch,Rounded objects,Alternate,Two rendered tapered-cylinder forms
20220215_170744.jpg,Color,Early color exercises,Shortlist,Marker shading on rounded box forms
20220216_130855.jpg,Color,Early color exercises,Shortlist,Clear experiments with color value and highlights
20220216_130902.jpg,Color,Early color exercises,Shortlist,Controlled color rendering on compact products
1645026406791.jpg,Basic Sketch,Boxes,Archive,Late corrective box drill
20220216_231420.jpg,Color,Early color exercises,Archive,Tight crop of the larger rendering sheet
20220216_235109.jpg,Color,Early color exercises,Archive,Alternate crop of the same rendering sheet
20220216_235322.jpg,Color,Early color exercises,Shortlist,Strong crop showing three rendered products
20220217_134456.jpg,Color,Early color exercises,Archive,Process overview; individual images read more clearly
20220222_231810.jpg,Object Compositions,Different views of one object,Archive,Rotated alternate of the garment-steamer study
20220223_020807.jpg,Object Compositions,Details and functions,Archive,Earlier photo; cleaner re-photograph is preferred
20220225_133229.jpg,Color,Finished color compositions,Archive,Rotated alternate of the pencil-sharpener study
20220225_133258.jpg,Color,Finished color compositions,Archive,Alternate photo; 20220228_135525.jpg is cleaner
1645990531057.jpg,Color,Finished color compositions,Shortlist,Strong composition of varied chair designs
20220228_135525.jpg,Color,Finished color compositions,Shortlist,Complete colored pencil-sharpener composition
20220302_173746.jpg,Color,Finished color compositions,Archive,Single chair study; later chair pages tell the story better
20220307_040334.jpg,Color,Finished color compositions,Archive,Rotated crop of the claw-machine composition
20220307_193050.jpg,Color,Finished color compositions,Shortlist,Complete set of colored claw-machine concepts
20220307_193103.jpg,Color,Finished color compositions,Archive,Crop of the same claw-machine composition
1647334859865.jpg,Color,Finished color compositions,Shortlist,Lamp and side-table concepts in one complete page
1647334864227-0.jpg,Color,Finished color compositions,Archive,Wider process photo of the same page
1647334864227-1.jpg,Color,Finished color compositions,Archive,Tight crop of the same page
1647575783887-0.jpg,Color,Finished color compositions,Archive,Alternate photo of the puzzle-product page
1647575783887-1.jpg,Color,Finished color compositions,Archive,Alternate photo of the puzzle-product page
1647575783887-2.jpg,Color,Finished color compositions,Shortlist,Cleanest complete puzzle-product composition
20220322_173606.jpg,Color,Finished color compositions,Archive,Earlier chair composition; cleaner later image is preferred
1652086207089-0.jpg,Color,Finished color compositions,Archive,Process overview of several chair pages
1652086207089-1.jpg,Color,Finished color compositions,Archive,Process overview of two chair pages
1652430115611-0.jpg,Color,Finished color compositions,Archive,Wide process overview with many chair sheets
1652430115611-1.jpg,Color,Finished color compositions,Archive,Wide process overview with many chair sheets
1652430115611-2.jpg,Color,Finished color compositions,Archive,Wide process overview with many chair sheets
20220520_171037.jpg,Color,Finished color compositions,Archive,Good chair pair but later scans are cleaner
1653923798927.jpg,Color,Finished color compositions,Shortlist,Strong clean chair composition and component views
1653923826472.jpg,Color,Finished color compositions,Alternate,Four distinct chair concepts on a clean sheet
1656166092290.jpg,Color,Finished color compositions,Archive,Duplicate process overview of chair sheets
1656166093271.jpg,Color,Finished color compositions,Archive,Process overview with overlapping chair sheets
1656166098193.jpg,Color,Finished color compositions,Shortlist,Clean complete adjustable-chair composition
1656166102560-0.jpg,Color,Finished color compositions,Shortlist,Clean two-chair study with wooden cushions
1656166102560-1.jpg,Color,Finished color compositions,Archive,Duplicate of 1653923798927.jpg
1656166102560-2.jpg,Color,Finished color compositions,Alternate,Orange chair construction and multiple views
1656166102560-3.jpg,Color,Finished color compositions,Shortlist,Two finished wooden-cushion chair concepts
1656166102560-4.jpg,Color,Finished color compositions,Shortlist,Strong yellow chair construction and component study
sketch1656330855331.png,Color,Finished color compositions,Shortlist,Digital presentation of two chair concepts
20230312_004138.jpg,Color,Finished color compositions,Archive,Later capture and split-image layout; verify year before use
1679640852591.jpg,Color,Finished color compositions,Archive,Later capture; verify that it belongs in the 2022 series
1679985494796.jpg,Color,Finished color compositions,Archive,Alternate crop of 1679640852591.jpg
SNOW_20241122_041116_192.jpg,Object Compositions,Details and functions,Shortlist,Clean later re-photograph of the garment-steamer page
SNOW_20241122_041327_041.jpg,Color,Finished color compositions,Shortlist,Later re-photograph showing colored bottle concepts
SNOW_20241122_041737_534.jpg,Color,Finished color compositions,Shortlist,Later re-photograph of the completed claw-machine page
SNOW_20241122_041935_571.jpg,Color,Finished color compositions,Shortlist,Strong later re-photograph of varied chair concepts
SNOW_20241122_042202_527.jpg,Color,Finished color compositions,Archive,Overview of chair sheets already represented individually
